,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
443,1,2,female,Young Adult,0,0,13.0,0,S
444,1,3,male,No age,0,0,8.1125,0,S
445,1,1,male,Child,0,2,81.8583,1,S
446,1,2,female,Child,0,1,19.5,0,S
447,1,1,male,Young Adult,0,0,26.55,0,S
448,1,3,female,Child,2,1,19.2583,0,C
449,1,1,male,Adult,0,0,30.5,1,S
450,0,2,male,Adult,1,2,27.75,0,S
451,0,3,male,No age,1,0,19.9667,0,S
452,0,1,male,Young Adult,0,0,27.75,1,C
453,1,1,male,Adult,1,0,89.1042,1,C
454,0,3,male,No age,0,0,8.05,0,S
455,1,3,male,Young Adult,0,0,7.8958,0,C
456,0,1,male,Elderly,0,0,26.55,1,S
457,1,1,female,No age,1,0,51.8625,1,S
458,1,2,female,Adult,0,0,10.5,0,S
459,0,3,male,No age,0,0,7.75,0,Q
460,1,1,male,Adult,0,0,26.55,1,S
461,0,3,male,Young Adult,0,0,8.05,0,S
462,0,1,male,Adult,0,0,38.5,1,S
463,0,2,male,Adult,0,0,13.0,0,S
464,0,3,male,No age,0,0,8.05,0,S
465,0,3,male,Adult,0,0,7.05,0,S
466,0,2,male,No age,0,0,0.0,0,S
467,0,1,male,Adult,0,0,26.55,0,S
468,0,3,male,No age,0,0,7.725,0,Q
469,1,3,female,Baby/Toddler,2,1,19.2583,0,C
470,0,3,male,No age,0,0,7.25,0,S
471,0,3,male,Adult,0,0,8.6625,0,S
472,1,2,female,Young Adult,1,2,27.75,0,S
473,1,2,female,Young Adult,0,0,13.7917,1,C
474,0,3,female,Young Adult,0,0,9.8375,0,S
475,0,1,male,No age,0,0,52.0,1,S
476,0,2,male,Young Adult,1,0,21.0,0,S
477,0,3,male,Young Adult,1,0,7.0458,0,S
478,0,3,male,Young Adult,0,0,7.5208,0,S
479,1,3,female,Baby/Toddler,0,1,12.2875,0,S
480,0,3,male,Child,5,2,46.9,0,S
481,0,2,male,No age,0,0,0.0,0,S
482,0,3,male,Adult,0,0,8.05,0,S
483,1,3,female,Adult,0,0,9.5875,0,S
484,1,1,male,Young Adult,1,0,91.0792,1,C
485,0,3,female,No age,3,1,25.4667,0,S
486,1,1,female,Young Adult,1,0,90.0,1,S
487,0,1,male,Adult,0,0,29.7,1,C
488,0,3,male,Young Adult,0,0,8.05,0,S
489,1,3,male,Child,1,1,15.9,0,S
490,0,3,male,No age,1,0,19.9667,0,S
491,0,3,male,Young Adult,0,0,7.25,0,S
492,0,1,male,Adult,0,0,30.5,1,S
493,0,1,male,Elderly,0,0,49.5042,0,C
494,0,3,male,Young Adult,0,0,8.05,0,S
495,0,3,male,No age,0,0,14.4583,0,C
496,1,1,female,Adult,1,0,78.2667,1,C
497,0,3,male,No age,0,0,15.1,0,S
498,0,1,female,Young Adult,1,2,151.55,1,S
499,0,3,male,Young Adult,0,0,7.7958,0,S
500,0,3,male,Young Adult,0,0,8.6625,0,S
501,0,3,female,Young Adult,0,0,7.75,0,Q
502,0,3,female,No age,0,0,7.6292,0,Q
503,0,3,female,Adult,0,0,9.5875,0,S
504,1,1,female,Child,0,0,86.5,1,S
505,0,1,male,Young Adult,1,0,108.9,1,C
506,1,2,female,Young Adult,0,2,26.0,0,S
507,1,1,male,No age,0,0,26.55,0,S
508,0,3,male,Young Adult,0,0,22.525,0,S
509,1,3,male,Young Adult,0,0,56.4958,0,S
510,1,3,male,Young Adult,0,0,7.75,0,Q
511,0,3,male,No age,0,0,8.05,0,S
512,1,1,male,Adult,0,0,26.2875,1,S
513,1,1,female,Adult,1,0,59.4,0,C
514,0,3,male,Young Adult,0,0,7.4958,0,S
515,0,1,male,Adult,0,0,34.0208,1,S
516,1,2,female,Young Adult,0,0,10.5,1,S
517,0,3,male,No age,0,0,24.15,0,Q
518,1,2,female,Adult,1,0,26.0,0,S
519,0,3,male,Young Adult,0,0,7.8958,0,S
520,1,1,female,Young Adult,0,0,93.5,1,S
521,0,3,male,Young Adult,0,0,7.8958,0,S
522,0,3,male,No age,0,0,7.225,0,C
523,1,1,female,Adult,0,1,57.9792,1,C
524,0,3,male,No age,0,0,7.2292,0,C
525,0,3,male,Adult,0,0,7.75,0,Q
526,1,2,female,Adult,0,0,10.5,0,S
527,0,1,male,No age,0,0,221.7792,1,S
528,0,3,male,Adult,0,0,7.925,0,S
529,0,2,male,Young Adult,2,1,11.5,0,S
530,1,2,female,Baby/Toddler,1,1,26.0,0,S
531,0,3,male,No age,0,0,7.2292,0,C
532,0,3,male,Young Adult,1,1,7.2292,0,C
533,1,3,female,No age,0,2,22.3583,0,C
534,0,3,female,Young Adult,0,0,8.6625,0,S
535,1,2,female,Child,0,2,26.25,0,S
536,0,1,male,Adult,0,0,26.55,1,S
537,1,1,female,Young Adult,0,0,106.425,0,C
538,0,3,male,No age,0,0,14.5,0,S
539,1,1,female,Young Adult,0,2,49.5,1,C
540,1,1,female,Adult,0,2,71.0,1,S
541,0,3,female,Child,4,2,31.275,0,S
542,0,3,female,Child,4,2,31.275,0,S
543,1,2,male,Young Adult,1,0,26.0,0,S
544,0,1,male,Adult,1,0,106.425,1,C
545,0,1,male,Elderly,0,0,26.0,0,S
546,1,2,female,Young Adult,1,0,26.0,0,S
547,1,2,male,No age,0,0,13.8625,0,C
548,0,3,male,Young Adult,1,1,20.525,0,S
549,1,2,male,Child,1,1,36.75,0,S
550,1,1,male,Young Adult,0,2,110.8833,1,C
551,0,2,male,Young Adult,0,0,26.0,0,S
552,0,3,male,No age,0,0,7.8292,0,Q
553,1,3,male,Young Adult,0,0,7.225,0,C
554,1,3,female,Young Adult,0,0,7.775,0,S
555,0,1,male,Adult,0,0,26.55,0,S
556,1,1,female,Adult,1,0,39.6,1,C
557,0,1,male,No age,0,0,227.525,0,C
558,1,1,female,Adult,1,1,79.65,1,S
559,1,3,female,Adult,1,0,17.4,0,S
560,0,3,male,No age,0,0,7.75,0,Q
561,0,3,male,Adult,0,0,7.8958,0,S
562,0,2,male,Young Adult,0,0,13.5,0,S
563,0,3,male,No age,0,0,8.05,0,S
564,0,3,female,No age,0,0,8.05,0,S
565,0,3,male,Young Adult,2,0,24.15,0,S
566,0,3,male,Young Adult,0,0,7.8958,0,S
567,0,3,female,Young Adult,0,4,21.075,0,S
568,0,3,male,No age,0,0,7.2292,0,C
569,1,3,male,Young Adult,0,0,7.8542,0,S
570,1,2,male,Adult,0,0,10.5,0,S
571,1,1,female,Adult,2,0,51.4792,1,S
572,1,1,male,Adult,0,0,26.3875,1,S
573,1,3,female,No age,0,0,7.75,0,Q
574,0,3,male,Child,0,0,8.05,0,S
575,0,3,male,Young Adult,0,0,14.5,0,S
576,1,2,female,Young Adult,0,0,13.0,0,S
577,1,1,female,Adult,1,0,55.9,1,S
578,0,3,female,No age,1,0,14.4583,0,C
579,1,3,male,Young Adult,0,0,7.925,0,S
580,1,2,female,Young Adult,1,1,30.0,0,S
581,1,1,female,Adult,1,1,110.8833,1,C
582,0,2,male,Adult,0,0,26.0,0,S
583,0,1,male,Adult,0,0,40.125,1,C
584,0,3,male,No age,0,0,8.7125,0,C
585,1,1,female,Young Adult,0,2,79.65,1,S
586,0,2,male,Adult,0,0,15.0,0,S
587,1,1,male,Adult,1,1,79.2,1,C
588,0,3,male,Young Adult,0,0,8.05,0,S
589,0,3,male,No age,0,0,8.05,0,S
590,0,3,male,Young Adult,0,0,7.125,0,S
591,1,1,female,Adult,1,0,78.2667,1,C
592,0,3,male,Adult,0,0,7.25,0,S
593,0,3,female,No age,0,2,7.75,0,Q
594,0,2,male,Adult,1,0,26.0,0,S
595,0,3,male,Adult,1,1,24.15,0,S
596,1,2,female,No age,0,0,33.0,0,S
597,0,3,male,Adult,0,0,0.0,0,S
598,0,3,male,No age,0,0,7.225,0,C
599,1,1,male,Adult,1,0,56.9292,1,C
600,1,2,female,Young Adult,2,1,27.0,0,S
601,0,3,male,No age,0,0,7.8958,0,S
602,0,1,male,No age,0,0,42.4,0,S
603,0,3,male,Adult,0,0,8.05,0,S
604,1,1,male,Young Adult,0,0,26.55,0,C
605,0,3,male,Adult,1,0,15.55,0,S
606,0,3,male,Young Adult,0,0,7.8958,0,S
607,1,1,male,Young Adult,0,0,30.5,0,S
608,1,2,female,Young Adult,1,2,41.5792,0,C
609,1,1,female,Adult,0,0,153.4625,1,S
610,0,3,female,Adult,1,5,31.275,0,S
611,0,3,male,No age,0,0,7.05,0,S
612,1,3,female,No age,1,0,15.5,0,Q
613,0,3,male,No age,0,0,7.75,0,Q
614,0,3,male,Young Adult,0,0,8.05,0,S
615,1,2,female,Young Adult,1,2,65.0,0,S
616,0,3,male,Young Adult,1,1,14.4,0,S
617,0,3,female,Young Adult,1,0,16.1,0,S
618,1,2,female,Child,2,1,39.0,1,S
619,0,2,male,Young Adult,0,0,10.5,0,S
620,0,3,male,Young Adult,1,0,14.4542,0,C
621,1,1,male,Adult,1,0,52.5542,1,S
622,1,3,male,Young Adult,1,1,15.7417,0,C
623,0,3,male,Young Adult,0,0,7.8542,0,S
624,0,3,male,Young Adult,0,0,16.1,0,S
625,0,1,male,Adult,0,0,32.3208,1,S
626,0,2,male,Adult,0,0,12.35,0,Q
627,1,1,female,Young Adult,0,0,77.9583,1,S
628,0,3,male,Young Adult,0,0,7.8958,0,S
629,0,3,male,No age,0,0,7.7333,0,Q
630,1,1,male,Elderly,0,0,30.0,1,S
631,0,3,male,Adult,0,0,7.0542,0,S
632,1,1,male,Young Adult,0,0,30.5,1,C
633,0,1,male,No age,0,0,0.0,0,S
634,0,3,female,Child,3,2,27.9,0,S
635,1,2,female,Young Adult,0,0,13.0,0,S
636,0,3,male,Young Adult,0,0,7.925,0,S
637,0,2,male,Young Adult,1,1,26.25,0,S
638,0,3,female,Adult,0,5,39.6875,0,S
639,0,3,male,No age,1,0,16.1,0,S
640,0,3,male,Young Adult,0,0,7.8542,0,S
641,1,1,female,Young Adult,0,0,69.3,1,C
642,0,3,female,Baby/Toddler,3,2,27.9,0,S
643,1,3,male,No age,0,0,56.4958,0,S
644,1,3,female,Baby/Toddler,2,1,19.2583,0,C
645,1,1,male,Adult,1,0,76.7292,1,C
646,0,3,male,Young Adult,0,0,7.8958,0,S
647,1,1,male,Adult,0,0,35.5,1,C
648,0,3,male,No age,0,0,7.55,0,S
649,1,3,female,Young Adult,0,0,7.55,0,S
650,0,3,male,No age,0,0,7.8958,0,S
651,1,2,female,Young Adult,0,1,23.0,0,S
652,0,3,male,Young Adult,0,0,8.4333,0,S
653,1,3,female,No age,0,0,7.8292,0,Q
654,0,3,female,Young Adult,0,0,6.75,0,Q
655,0,2,male,Young Adult,2,0,73.5,0,S
656,0,3,male,No age,0,0,7.8958,0,S
657,0,3,female,Young Adult,1,1,15.5,0,Q
658,0,2,male,Young Adult,0,0,13.0,0,S
659,0,1,male,Adult,0,2,113.275,1,C
660,1,1,male,Adult,2,0,133.65,0,S
661,0,3,male,Adult,0,0,7.225,0,C
662,0,1,male,Adult,0,0,25.5875,1,S
663,0,3,male,Adult,0,0,7.4958,0,S
664,1,3,male,Young Adult,1,0,7.925,0,S
665,0,2,male,Young Adult,2,0,73.5,0,S
666,0,2,male,Young Adult,0,0,13.0,0,S
667,0,3,male,No age,0,0,7.775,0,S
668,0,3,male,Adult,0,0,8.05,0,S
669,1,1,female,No age,1,0,52.0,1,S
670,1,2,female,Adult,1,1,39.0,0,S
671,0,1,male,Young Adult,1,0,52.0,1,S
672,0,2,male,Elderly,0,0,10.5,0,S
673,1,2,male,Young Adult,0,0,13.0,0,S
674,0,2,male,No age,0,0,0.0,0,S
675,0,3,male,Young Adult,0,0,7.775,0,S
676,0,3,male,Young Adult,0,0,8.05,0,S
677,1,3,female,Young Adult,0,0,9.8417,0,S
678,0,3,female,Adult,1,6,46.9,0,S
679,1,1,male,Adult,0,1,512.3292,1,C
680,0,3,female,No age,0,0,8.1375,0,Q
681,1,1,male,Young Adult,0,0,76.7292,1,C
682,0,3,male,Young Adult,0,0,9.225,0,S
683,0,3,male,Child,5,2,46.9,0,S
684,0,2,male,Adult,1,1,39.0,0,S
685,0,2,male,Young Adult,1,2,41.5792,0,C
686,0,3,male,Child,4,1,39.6875,0,S
687,0,3,male,Young Adult,0,0,10.1708,0,S
688,0,3,male,Young Adult,0,0,7.7958,0,S
689,1,1,female,Child,0,1,211.3375,1,S
690,1,1,male,Young Adult,1,0,57.0,1,S
691,1,3,female,Child,0,1,13.4167,0,C
692,1,3,male,No age,0,0,56.4958,0,S
693,0,3,male,Young Adult,0,0,7.225,0,C
694,0,1,male,Adult,0,0,26.55,0,S
695,0,2,male,Adult,0,0,13.5,0,S
696,0,3,male,Adult,0,0,8.05,0,S
697,1,3,female,No age,0,0,7.7333,0,Q
698,0,1,male,Adult,1,1,110.8833,1,C
699,0,3,male,Adult,0,0,7.65,1,S
700,1,1,female,Young Adult,1,0,227.525,1,C
701,1,1,male,Young Adult,0,0,26.2875,1,S
702,0,3,female,Young Adult,0,1,14.4542,0,C
703,0,3,male,Young Adult,0,0,7.7417,0,Q
704,0,3,male,Young Adult,1,0,7.8542,0,S
705,0,2,male,Adult,0,0,26.0,0,S
706,1,2,female,Adult,0,0,13.5,0,S
707,1,1,male,Adult,0,0,26.2875,1,S
708,1,1,female,Young Adult,0,0,151.55,0,S
709,1,3,male,No age,1,1,15.2458,0,C
710,1,1,female,Young Adult,0,0,49.5042,1,C
711,0,1,male,No age,0,0,26.55,1,S
712,1,1,male,Adult,1,0,52.0,1,S
713,0,3,male,Young Adult,0,0,9.4833,0,S
714,0,2,male,Adult,0,0,13.0,0,S
715,0,3,male,Young Adult,0,0,7.65,1,S
716,1,1,female,Adult,0,0,227.525,1,C
717,1,2,female,Young Adult,0,0,10.5,1,S
718,0,3,male,No age,0,0,15.5,0,Q
719,0,3,male,Young Adult,0,0,7.775,0,S
720,1,2,female,Child,0,1,33.0,0,S
721,0,3,male,Young Adult,1,0,7.0542,0,S
722,0,2,male,Young Adult,0,0,13.0,0,S
723,0,2,male,Adult,0,0,13.0,0,S
724,1,1,male,Young Adult,1,0,53.1,1,S
725,0,3,male,Young Adult,0,0,8.6625,0,S
726,1,2,female,Young Adult,3,0,21.0,0,S
727,1,3,female,No age,0,0,7.7375,0,Q
728,0,2,male,Young Adult,1,0,26.0,0,S
729,0,3,female,Young Adult,1,0,7.925,0,S
730,1,1,female,Young Adult,0,0,211.3375,1,S
731,0,3,male,Child,0,0,18.7875,0,C
732,0,2,male,No age,0,0,0.0,0,S
733,0,2,male,Young Adult,0,0,13.0,0,S
734,0,2,male,Young Adult,0,0,13.0,0,S
735,0,3,male,Young Adult,0,0,16.1,0,S
736,0,3,female,Adult,1,3,34.375,0,S
737,1,1,male,Young Adult,0,0,512.3292,1,C
738,0,3,male,No age,0,0,7.8958,0,S
739,0,3,male,No age,0,0,7.8958,0,S
740,1,1,male,No age,0,0,30.0,1,S
741,0,1,male,Adult,1,0,78.85,1,S
742,1,1,female,Young Adult,2,2,262.375,1,C
743,0,3,male,Young Adult,1,0,16.1,0,S
744,1,3,male,Young Adult,0,0,7.925,0,S
745,0,1,male,Elderly,1,1,71.0,1,S
746,0,3,male,Child,1,1,20.25,0,S
747,1,2,female,Young Adult,0,0,13.0,0,S
748,0,1,male,Young Adult,1,0,53.1,1,S
749,0,3,male,Young Adult,0,0,7.75,0,Q
750,1,2,female,Child,1,1,23.0,0,S
751,1,3,male,Child,0,1,12.475,1,S
752,0,3,male,Young Adult,0,0,9.5,0,S
753,0,3,male,Young Adult,0,0,7.8958,0,S
754,1,2,female,Adult,1,2,65.0,0,S
755,1,2,male,Baby/Toddler,1,1,14.5,0,S
756,0,3,male,Young Adult,0,0,7.7958,0,S
757,0,2,male,Young Adult,0,0,11.5,0,S
758,0,3,male,Young Adult,0,0,8.05,0,S
759,1,1,female,Young Adult,0,0,86.5,1,S
760,0,3,male,No age,0,0,14.5,0,S
761,0,3,male,Adult,0,0,7.125,0,S
762,1,3,male,Young Adult,0,0,7.2292,0,C
763,1,1,female,Adult,1,2,120.0,1,S
764,0,3,male,Child,0,0,7.775,0,S
765,1,1,female,Adult,1,0,77.9583,1,S
766,0,1,male,No age,0,0,39.6,0,C
767,0,3,female,Young Adult,0,0,7.75,0,Q
768,0,3,male,No age,1,0,24.15,0,Q
769,0,3,male,Young Adult,0,0,8.3625,0,S
770,0,3,male,Young Adult,0,0,9.5,0,S
771,0,3,male,Adult,0,0,7.8542,0,S
772,0,2,female,Adult,0,0,10.5,1,S
773,0,3,male,No age,0,0,7.225,0,C
774,1,2,female,Adult,1,3,23.0,0,S
775,0,3,male,Young Adult,0,0,7.75,0,S
776,0,3,male,No age,0,0,7.75,1,Q
777,1,3,female,Child,0,0,12.475,0,S
778,0,3,male,No age,0,0,7.7375,0,Q
779,1,1,female,Adult,0,1,211.3375,1,S
780,1,3,female,Child,0,0,7.2292,0,C
781,1,1,female,Young Adult,1,0,57.0,1,S
782,0,1,male,Young Adult,0,0,30.0,1,S
783,0,3,male,No age,1,2,23.45,0,S
784,0,3,male,Young Adult,0,0,7.05,0,S
785,0,3,male,Young Adult,0,0,7.25,0,S
786,1,3,female,Young Adult,0,0,7.4958,0,S
787,0,3,male,Child,4,1,29.125,0,Q
788,1,3,male,Baby/Toddler,1,2,20.575,0,S
789,0,1,male,Adult,0,0,79.2,1,C
790,0,3,male,No age,0,0,7.75,0,Q
791,0,2,male,Child,0,0,26.0,0,S
792,0,3,female,No age,8,2,69.55,0,S
793,0,1,male,No age,0,0,30.6958,0,C
794,0,3,male,Young Adult,0,0,7.8958,0,S
795,0,2,male,Adult,0,0,13.0,0,S
796,1,1,female,Adult,0,0,25.9292,1,S
797,1,3,female,Young Adult,0,0,8.6833,0,S
798,0,3,male,Young Adult,0,0,7.2292,0,C
799,0,3,female,Young Adult,1,1,24.15,0,S
800,0,2,male,Young Adult,0,0,13.0,0,S
801,1,2,female,Young Adult,1,1,26.25,0,S
802,1,1,male,Child,1,2,120.0,1,S
803,1,3,male,Baby/Toddler,0,1,8.5167,0,C
804,1,3,male,Young Adult,0,0,6.975,0,S
805,0,3,male,Young Adult,0,0,7.775,0,S
806,0,1,male,Adult,0,0,0.0,1,S
807,0,3,female,Young Adult,0,0,7.775,0,S
808,0,2,male,Adult,0,0,13.0,0,S
809,1,1,female,Young Adult,1,0,53.1,1,S
810,0,3,male,Young Adult,0,0,7.8875,0,S
811,0,3,male,Adult,0,0,24.15,0,S
812,0,2,male,Young Adult,0,0,10.5,0,S
813,0,3,female,Child,4,2,31.275,0,S
814,0,3,male,Young Adult,0,0,8.05,0,S
815,0,1,male,No age,0,0,0.0,1,S
816,0,3,female,Young Adult,0,0,7.925,0,S
817,0,2,male,Young Adult,1,1,37.0042,0,C
818,0,3,male,Adult,0,0,6.45,0,S
819,0,3,male,Child,3,2,27.9,0,S
820,1,1,female,Adult,1,1,93.5,1,S
821,1,3,male,Young Adult,0,0,8.6625,0,S
822,0,1,male,Adult,0,0,0.0,0,S
823,1,3,female,Young Adult,0,1,12.475,1,S
824,0,3,male,Baby/Toddler,4,1,39.6875,0,S
825,0,3,male,No age,0,0,6.95,0,Q
826,0,3,male,No age,0,0,56.4958,0,S
827,1,2,male,Baby/Toddler,0,2,37.0042,0,C
828,1,3,male,No age,0,0,7.75,0,Q
829,1,1,female,Adult,0,0,80.0,1,S
830,1,3,female,Child,1,0,14.4542,0,C
831,1,2,male,Baby/Toddler,1,1,18.75,0,S
832,0,3,male,No age,0,0,7.2292,0,C
833,0,3,male,Young Adult,0,0,7.8542,0,S
834,0,3,male,Young Adult,0,0,8.3,0,S
835,1,1,female,Adult,1,1,83.1583,1,C
836,0,3,male,Young Adult,0,0,8.6625,0,S
837,0,3,male,No age,0,0,8.05,0,S
838,1,3,male,Young Adult,0,0,56.4958,0,S
839,1,1,male,No age,0,0,29.7,1,C
840,0,3,male,Young Adult,0,0,7.925,0,S
841,0,2,male,Child,0,0,10.5,0,S
842,1,1,female,Young Adult,0,0,31.0,0,C
843,0,3,male,Young Adult,0,0,6.4375,0,C
844,0,3,male,Young Adult,0,0,8.6625,0,S
845,0,3,male,Adult,0,0,7.55,0,S
846,0,3,male,No age,8,2,69.55,0,S
847,0,3,male,Young Adult,0,0,7.8958,0,C
848,0,2,male,Young Adult,0,1,33.0,0,S
849,1,1,female,No age,1,0,89.1042,1,C
850,0,3,male,Child,4,2,31.275,0,S
851,0,3,male,Elderly,0,0,7.775,0,S
852,0,3,female,Child,1,1,15.2458,0,C
853,1,1,female,Child,0,1,39.4,1,S
854,0,2,female,Adult,1,0,26.0,0,S
855,1,3,female,Young Adult,0,1,9.35,0,S
856,1,1,female,Adult,1,1,164.8667,0,S
857,1,1,male,Adult,0,0,26.55,1,S
858,1,3,female,Young Adult,0,3,19.2583,0,C
859,0,3,male,No age,0,0,7.2292,0,C
860,0,3,male,Adult,2,0,14.1083,0,S
861,0,2,male,Young Adult,1,0,11.5,0,S
862,1,1,female,Adult,0,0,25.9292,1,S
863,0,3,female,No age,8,2,69.55,0,S
864,0,2,male,Young Adult,0,0,13.0,0,S
865,1,2,female,Adult,0,0,13.0,0,S
866,1,2,female,Young Adult,1,0,13.8583,0,C
867,0,1,male,Young Adult,0,0,50.4958,1,S
868,0,3,male,No age,0,0,9.5,0,S
869,1,3,male,Child,1,1,11.1333,0,S
870,0,3,male,Young Adult,0,0,7.8958,0,S
871,1,1,female,Adult,1,1,52.5542,1,S
872,0,1,male,Young Adult,0,0,5.0,1,S
873,0,3,male,Adult,0,0,9.0,0,S
874,1,2,female,Young Adult,1,0,24.0,0,C
875,1,3,female,Child,0,0,7.225,0,C
876,0,3,male,Young Adult,0,0,9.8458,0,S
877,0,3,male,Young Adult,0,0,7.8958,0,S
878,0,3,male,No age,0,0,7.8958,0,S
879,1,1,female,Adult,0,1,83.1583,1,C
880,1,2,female,Young Adult,0,1,26.0,0,S
881,0,3,male,Young Adult,0,0,7.8958,0,S
882,0,3,female,Young Adult,0,0,10.5167,0,S
883,0,2,male,Young Adult,0,0,10.5,0,S
884,0,3,male,Young Adult,0,0,7.05,0,S
885,0,3,female,Adult,0,5,29.125,0,Q
886,0,2,male,Young Adult,0,0,13.0,0,S
887,1,1,female,Young Adult,0,0,30.0,1,S
888,0,3,female,No age,1,2,23.45,0,S
889,1,1,male,Young Adult,0,0,30.0,1,C
890,0,3,male,Young Adult,0,0,7.75,0,Q
